,orginal,proposed,old_section,new_sction,start_section,Final_section
91,11,2,"[[3.6850648], [3.7390578655833333, 3.9010370623333332, 4.0090231935, 3.84704399675, 3.793050931166667]]","[[3.7390578655833333], [3.793050931166667, 3.955030127916667, 4.063016259083334, 3.9010370623333332, 3.84704399675]]",164.48336436018957,168.49590426540283
92,11,3,"[[3.6850648], [3.7390578655833333, 3.9010370623333332, 4.063016259083334], [3.793050931166667, 4.0090231935, 3.84704399675]]","[[3.7390578655833333], [3.793050931166667, 3.955030127916667, 4.117009324666666], [3.84704399675, 4.063016259083334, 3.9010370623333332]]",185.77566218009477,185.71244000000002
93,11,2,"[[3.6850749], [3.7390671239166666, 3.901043795666667, 4.0090282434999995, 3.84705157175, 3.793059347833333]]","[[3.7390671239166666], [3.793059347833333, 3.9550360195833334, 4.063020467416667, 3.901043795666667, 3.84705157175]]",190.59130938388626,193.40134530805685
94,11,2,"[[3.6850648], [3.7390578655833333, 3.9010370623333332, 4.0090231935, 3.84704399675, 3.793050931166667]]","[[3.7390578655833333], [3.793050931166667, 3.955030127916667, 4.063016259083334, 3.9010370623333332, 3.84704399675]]",190.5088510900474,193.62385924170616
95,11,3,"[[3.6850648], [3.7390578655833333, 3.9010370623333332, 4.063016259083334, 3.793050931166667], [3.84704399675, 3.955030127916667, 4.117009324666666]]","[[3.7390578655833333], [3.793050931166667, 3.955030127916667, 4.117009324666666, 3.84704399675], [3.9010370623333332, 4.0090231935, 4.17100239025]]",185.15193535545023,185.27921440758294
96,11,3,"[[3.6850648], [3.7390475738333335, 3.9009958953333332, 4.062944216833333, 3.793030347666667], [3.8470131215, 3.9549786691666666, 4.116926990666666]]","[[3.7390475738333335], [3.793030347666667, 3.9549786691666666, 4.116926990666666, 3.8470131215], [3.9009958953333332, 4.0089614430000005, 4.1709097645]]",198.53662597156398,198.00042426540284
97,11,2,"[[3.6850648], [3.7390475738333335, 3.9009958953333332, 4.0089614430000005, 3.8470131215, 3.793030347666667]]","[[3.7390475738333335], [3.793030347666667, 3.9549786691666666, 4.062944216833333, 3.9009958953333332, 3.8470131215]]",183.64363440758294,187.373210521327
98,11,3,"[[3.6850749], [3.7390671239166666, 3.901043795666667, 4.063020467416667, 3.793059347833333], [3.84705157175, 3.9550360195833334, 4.117012691333334]]","[[3.7390671239166666], [3.793059347833333, 3.9550360195833334, 4.117012691333334, 3.84705157175], [3.901043795666667, 4.0090282434999995, 4.17100491525]]",180.08936293838863,180.4581898578199
99,11,2,"[[3.6850648], [3.7390475738333335, 3.9009958953333332, 4.0089614430000005, 3.8470131215, 3.793030347666667]]","[[3.7390475738333335], [3.793030347666667, 3.9549786691666666, 4.062944216833333, 3.9009958953333332, 3.8470131215]]",195.50241298578197,199.73582369668244
100,12,2,"[[3.6850648], [3.7349027554615386, 3.784740710923077, 3.9342545773076925, 3.8345786663846155]]","[[3.7349027554615386], [3.784740710923077, 3.8345786663846155, 3.984092532769231, 3.884416621846154]]",192.31213677725117,195.54411848341235
101,12,3,"[[3.6850648], [3.734904552846154, 3.784744305692308], [3.8345840585384616, 3.9342635642307693, 3.8844238113846155]]","[[3.734904552846154], [3.784744305692308, 3.8345840585384616], [3.8844238113846155, 3.984103317076923, 3.9342635642307693]]",165.2698720379147,164.9034015165877
102,12,2,"[[3.6850648], [3.734904552846154, 3.784744305692308, 3.8844238113846155, 3.8345840585384616]]","[[3.734904552846154], [3.784744305692308, 3.8345840585384616, 3.9342635642307693, 3.8844238113846155]]",186.41061336492893,188.8619549763033
103,12,3,"[[3.6850749], [3.734913875923077, 3.9342697796153847, 4.033947731461539], [3.7847528518461537, 3.884430803692308, 3.8345918277692306]]","[[3.734913875923077], [3.7847528518461537, 3.9841087555384616, 4.083786707384616], [3.8345918277692306, 3.9342697796153847, 3.884430803692308]]",190.97300331753556,191.07347573459717
104,12,3,"[[3.6850648], [3.734904552846154, 3.784744305692308], [3.8345840585384616, 4.033943069923077, 3.9342635642307693, 3.8844238113846155]]","[[3.734904552846154], [3.784744305692308, 3.8345840585384616], [3.8844238113846155, 4.083782822769231, 3.984103317076923, 3.9342635642307693]]",192.3551358293839,192.3375783886256
105,12,2,"[[3.6850648], [3.734904552846154, 3.9342635642307693, 4.133622575615385, 3.784744305692308]]","[[3.734904552846154], [3.784744305692308, 3.984103317076923, 4.183462328461538, 3.8345840585384616]]",186.10864,187.08716018957347
106,12,3,"[[3.6850648], [3.734895052769231, 3.934216063846154, 4.083706822153846], [3.7847253055384615, 3.8345555583076925, 4.133537074923077]]","[[3.734895052769231], [3.7847253055384615, 3.9840463166153848, 4.133537074923077], [3.8345555583076925, 3.884385811076923, 4.183367327692308]]",198.92364824644548,198.4611752606635
107,12,3,"[[3.6850648], [3.734895052769231, 3.7847253055384615, 3.9840463166153848, 3.884385811076923], [3.8345555583076925]]","[[3.734895052769231], [3.7847253055384615, 3.8345555583076925, 4.033876569384615, 3.934216063846154], [3.884385811076923]]",182.5703190521327,184.27166341232228
108,12,3,"[[3.6850749], [3.734913875923077, 3.9342697796153847, 4.1336256833076925], [3.7847528518461537, 3.8345918277692306, 3.884430803692308]]","[[3.734913875923077], [3.7847528518461537, 3.9841087555384616, 4.183464659230769], [3.8345918277692306, 3.884430803692308, 3.9342697796153847]]",180.23905696682465,180.55077345971566
109,12,2,"[[3.6850648], [3.734895052769231, 3.934216063846154, 4.083706822153846, 3.8345555583076925, 3.7847253055384615]]","[[3.734895052769231], [3.7847253055384615, 3.9840463166153848, 4.133537074923077, 3.884385811076923, 3.8345555583076925]]",194.65861251184833,199.95241146919432
110,13,3,"[[3.6850648], [3.7313429015, 3.777621003, 3.8238991045, 4.055289612], [3.870177206, 4.1015677135]]","[[3.7313429015], [3.777621003, 3.8238991045, 3.870177206, 4.1015677135], [3.9164553075, 4.147845815]]",191.1658475829384,191.76854928909952
111,13,2,"[[3.6850648], [3.7313445705, 3.777624341, 4.055302964, 3.8239041115]]","[[3.7313445705], [3.777624341, 3.8239041115, 4.1015827345, 3.870183882]]",164.5656343127962,164.64332113744072
112,13,3,"[[3.6850648], [3.7313445705, 3.777624341], [3.8239041115, 3.9164636525, 4.0090231935, 3.870183882]]","[[3.7313445705], [3.777624341, 3.8239041115], [3.870183882, 3.962743423, 4.055302964, 3.9164636525]]",183.88654672985783,184.97280909952607
113,13,3,"[[3.6850749], [3.7313539490714285, 3.7776329981428574, 3.823912047214286], [3.8701910962857142, 4.101586341642857, 3.9164701453571427]]","[[3.7313539490714285], [3.7776329981428574, 3.823912047214286, 3.8701910962857142], [3.9164701453571427, 4.147865390714285, 3.9627491944285715]]",192.46759744075828,193.85443772511846
114,13,2,"[[3.6850648], [3.7313445705, 3.777624341, 3.870183882, 3.8239041115]]","[[3.7313445705], [3.777624341, 3.8239041115, 3.9164636525, 3.870183882]]",189.29420928909954,189.19479393364927
115,13,3,"[[3.6850648], [3.7313445705, 3.777624341, 3.8239041115, 3.9164636525], [3.870183882, 4.1015827345]]","[[3.7313445705], [3.777624341, 3.8239041115, 3.870183882, 3.962743423], [3.9164636525, 4.147862505]]",186.13772966824646,186.60220587677725
116,13,3,"[[3.6850648], [3.7313357490000003, 3.777606698], [3.823877647, 4.0089614430000005, 3.870148596, 3.9626904940000003]]","[[3.7313357490000003], [3.777606698, 3.823877647], [3.870148596, 4.055232392, 3.916419545, 4.0089614430000005]]",200.36300388625597,200.38513383886257
117,13,2,"[[3.6850648], [3.7313357490000003, 3.777606698, 3.916419545, 4.055232392, 3.823877647]]","[[3.7313357490000003], [3.777606698, 3.823877647, 3.9626904940000003, 4.101503341, 3.870148596]]",185.61883099526062,185.95581876777248
118,13,3,"[[3.6850749], [3.7313539490714285, 3.7776329981428574, 3.9164701453571427], [3.823912047214286, 3.8701910962857142]]","[[3.7313539490714285], [3.7776329981428574, 3.823912047214286, 3.9627491944285715], [3.8701910962857142, 3.9164701453571427]]",179.1783289099526,179.40163867298577
119,13,2,"[[3.6850648], [3.7313357490000003, 3.777606698, 3.823877647]]","[[3.7313357490000003], [3.777606698, 3.823877647, 3.870148596]]",193.01089677725122,194.5238742180095
120,14,2,"[[3.6850648], [3.7282576947333337, 3.771450589466667, 4.030607957866667, 3.8146434842000003]]","[[3.7282576947333337], [3.771450589466667, 3.8146434842000003, 4.0738008526, 3.8578363789333334]]",191.7755136492891,192.277056492891
121,14,3,"[[3.6850648], [3.7282592524666667, 3.7714537049333337, 4.2033982296, 3.8578426098666667], [3.8146481574, 3.9010370623333332]]","[[3.7282592524666667], [3.7714537049333337, 3.8146481574, 4.246592682066667, 3.9010370623333332], [3.8578426098666667, 3.9442315148000002]]",165.87016938388626,165.12321327014214
